Location,Year,Month,Estimated_Score,ALLSKY_SFC_SW_DWN,GWETROOT,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN_lag1,ALLSKY_SFC_SW_DWN_lag2,ALLSKY_SFC_SW_DWN_lag3,ALLSKY_SFC_SW_DWN_lag6,GWETROOT_lag1,GWETROOT_lag2,GWETROOT_lag3,GWETROOT_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag2,PRECTOTCORR_lag3,PRECTOTCORR_lag6,T2M_lag1,T2M_lag2,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WS2M_lag6,ALLSKY_SFC_SW_DWN_roll3,ALLSKY_SFC_SW_DWN_roll6,GWETROOT_roll3,GWETROOT_roll6,PRECTOTCORR_roll3,PRECTOTCORR_roll6,T2M_roll3,T2M_roll6,WS2M_roll3,WS2M_roll6,precip_temp_interaction,Month_sin,Month_cos,Year_normalized,Location_encoded
Carrizo Plain,2024,1,0.5391,9.17,0.65,1.79,9.08,2.21,8.78,12.44,17.31,29.6,0.55,0.51,0.5,0.5,3.09,0.45,0.15,0.02,10.99,13.47,18.79,26.58,2.1,2.05,1.9,1.97,10.13,15.811666666666666,0.57,0.535,1.7766666666666666,1.01,11.18,16.188333333333336,2.12,2.06,16.2532,0.49999999999999994,0.8660254037844387,0.8,0
Carrizo Plain,2024,2,0.5955,13.13,0.8,5.92,9.15,2.24,9.17,8.78,12.44,25.64,0.65,0.55,0.51,0.5,1.79,3.09,0.45,0.54,9.08,10.99,13.47,24.41,2.21,2.1,2.05,2.07,10.360000000000001,13.726666666666665,0.6666666666666666,0.585,3.6,1.906666666666667,9.74,13.645000000000001,2.1833333333333336,2.0883333333333334,54.168,0.8660254037844386,0.5000000000000001,0.8,0
Carrizo Plain,2024,3,0.7482,18.37,0.8,2.84,10.33,2.47,13.13,9.17,8.78,21.53,0.8,0.65,0.55,0.5,5.92,1.79,3.09,0.04,9.15,9.08,10.99,20.39,2.24,2.21,2.1,2.03,13.556666666666667,13.200000000000001,0.75,0.635,3.516666666666667,2.373333333333333,9.519999999999998,11.968333333333334,2.3066666666666666,2.1616666666666666,29.3372,1.0,6.123233995736766e-17,0.8,0
Carrizo Plain,2024,4,0.663,23.87,0.75,1.26,12.49,2.55,18.37,13.13,9.17,17.31,0.8,0.8,0.65,0.5,2.84,5.92,1.79,0.15,10.33,9.15,9.08,18.79,2.47,2.24,2.21,1.9,18.456666666666667,14.293333333333331,0.7833333333333333,0.6766666666666667,3.3400000000000003,2.5583333333333336,10.656666666666666,10.918333333333335,2.42,2.27,15.737400000000001,0.8660254037844387,-0.49999999999999983,0.8,0
Carrizo Plain,2024,5,0.5915,29.29,0.61,0.11,16.03,2.17,23.87,18.37,13.13,12.44,0.75,0.8,0.8,0.51,1.26,2.84,5.92,0.45,12.49,10.33,9.15,13.47,2.55,2.47,2.24,2.05,23.843333333333334,17.101666666666667,0.7200000000000001,0.6933333333333334,1.4033333333333333,2.5016666666666665,12.949999999999998,11.344999999999999,2.3966666666666665,2.29,1.7633,0.49999999999999994,-0.8660254037844387,0.8,0
Carrizo Plain,2024,6,0.5521,30.38,0.51,0.01,23.12,2.26,29.29,23.87,18.37,8.78,0.61,0.75,0.8,0.55,0.11,1.26,2.84,3.09,16.03,12.49,10.33,10.99,2.17,2.55,2.47,2.1,27.846666666666668,20.701666666666664,0.6233333333333334,0.6866666666666666,0.46,1.9883333333333333,17.213333333333335,13.366666666666667,2.326666666666666,2.316666666666667,0.23120000000000002,1.2246467991473532e-16,-1.0,0.8,0
Carrizo Plain,2024,7,0.5439,28.96,0.49,0.0,27.79,1.87,30.38,29.29,23.87,9.17,0.51,0.61,0.75,0.65,0.01,0.11,1.26,1.79,23.12,16.03,12.49,9.08,2.26,2.17,2.55,2.21,29.543333333333333,24.0,0.5366666666666667,0.66,0.04,1.6900000000000002,22.313333333333333,16.485000000000003,2.1,2.26,0.0,-0.4999999999999998,-0.8660254037844388,0.8,0
Carrizo Plain,2024,8,0.5407,26.67,0.49,0.01,25.53,2.0,28.96,30.38,29.29,13.13,0.49,0.51,0.61,0.8,0.0,0.01,0.11,5.92,27.79,23.12,16.03,9.15,1.87,2.26,2.17,2.24,28.67,26.256666666666664,0.49666666666666665,0.6083333333333334,0.006666666666666667,0.705,25.48,19.215,2.0433333333333334,2.22,0.2553,-0.8660254037844384,-0.5000000000000004,0.8,0
Carrizo Plain,2024,9,0.5399,22.54,0.49,0.04,23.03,1.84,26.67,28.96,30.38,18.37,0.49,0.49,0.51,0.8,0.01,0.0,0.01,2.84,25.53,27.79,23.12,10.33,2.0,1.87,2.26,2.47,26.05666666666667,26.951666666666668,0.49,0.5566666666666666,0.016666666666666666,0.2383333333333333,25.45,21.331666666666667,1.9033333333333333,2.115,0.9212,-1.0,-1.8369701987210297e-16,0.8,0
Carrizo Plain,2024,10,0.5385,16.76,0.49,0.0,20.78,1.74,22.54,26.67,28.96,23.87,0.49,0.49,0.49,0.75,0.04,0.01,0.0,1.26,23.03,25.53,27.79,12.49,1.84,2.0,1.87,2.55,21.99,25.766666666666666,0.49,0.5133333333333333,0.016666666666666666,0.028333333333333332,23.113333333333333,22.713333333333335,1.86,1.9799999999999998,0.0,-0.8660254037844386,0.5000000000000001,0.8,0
